,community,population,FELONY,MISDEMEANOR,VIOLATION
0,101,34420 ,1462,3155,677.0
1,102,93119 ,2649,5083,653.0
2,103,164407 ,2843,6105,1187.0
3,104,87479 ,2873,5265,1062.0
4,105,44028 ,5112,9320,1291.0
5,106,136152 ,1920,3227,766.0
6,107,207699 ,2345,5065,1167.0
7,108,217063 ,2203,3210,657.0
8,109,111724 ,1589,3614,917.0
9,110,107109 ,2750,7110,1625.0
10,111,117743 ,2903,7694,1548.0
11,112,208414 ,2708,5657,1117.0
