,community,population,FELONY,MISDEMEANOR,VIOLATION
30,401,211220 ,2670,5374,1351.0
31,402,109920 ,1211,2525,828.0
32,403,169083 ,2365,4243,1176.0
33,404,167005 ,1573,3442,687.0
34,405,165911 ,1559,3280,964.0
35,406,115967 ,723,1874,386.0
36,407,242952 ,2085,4558,1381.0
37,409,141608 ,1205,2632,842.0
38,410,127274 ,1591,3031,902.0
